timestamp,worker_id,batch_size,duration_ms,total_rows_after_insert_approx
2025-05-21T20:53:48.001783,2,1000,30.94,2000
2025-05-21T20:53:48.094475,2,1000,30.52,4000
2025-05-21T20:53:48.195846,2,1000,38.39,5000
2025-05-21T20:53:48.295610,2,1000,33.03,8000
2025-05-21T20:53:48.392016,2,1000,30.38,10000
2025-05-21T20:53:48.491489,2,1000,37.16,11000
2025-05-21T20:53:48.590480,2,1000,32.20,14000
2025-05-21T20:53:48.684632,2,1000,30.79,16000
2025-05-21T20:53:48.781129,2,1000,34.50,17000
2025-05-21T20:53:48.882700,2,1000,35.85,19000
2025-05-21T20:53:48.977233,2,1000,30.57,21000
2025-05-21T20:53:49.077119,2,1000,37.36,24000
2025-05-21T20:53:49.176983,2,1000,33.77,26000
2025-05-21T20:53:49.277566,2,1000,37.08,28000
2025-05-21T20:53:49.374423,2,1000,32.46,30000
2025-05-21T20:53:49.470561,2,1000,29.42,32000
2025-05-21T20:53:49.567907,2,1000,42.59,33000
2025-05-21T20:53:49.661060,2,1000,32.30,35000
2025-05-21T20:53:49.753545,2,1000,31.95,37000
2025-05-21T20:53:49.849154,2,1000,33.90,39000
2025-05-21T20:53:49.942751,2,1000,29.94,41000
2025-05-21T20:53:50.041856,2,1000,33.38,44000
2025-05-21T20:53:50.138841,2,1000,34.46,46000
2025-05-21T20:53:50.240776,2,1000,39.04,47000
2025-05-21T20:53:50.338504,2,1000,34.09,49000
2025-05-21T20:53:50.435529,2,1000,34.11,51000
2025-05-21T20:53:50.527342,2,1000,29.62,53000
2025-05-21T20:53:50.625096,2,1000,35.20,55000
2025-05-21T20:53:50.713964,2,1000,28.23,57000
2025-05-21T20:53:50.808583,2,1000,39.54,59000
2025-05-21T20:53:50.904831,2,1000,29.27,62000
2025-05-21T20:53:51.005761,2,1000,35.26,64000
2025-05-21T20:53:51.097222,2,1000,31.30,65000
2025-05-21T20:53:51.197031,2,1000,36.13,67000
2025-05-21T20:53:51.296887,2,1000,35.63,69000
2025-05-21T20:53:51.395583,2,1000,34.96,71000
2025-05-21T20:53:51.490709,2,1000,29.27,74000
2025-05-21T20:53:51.581451,2,1000,30.13,75000
2025-05-21T20:53:51.675644,2,1000,31.17,77000
2025-05-21T20:53:51.795332,2,1000,33.47,80000
2025-05-21T20:53:51.897603,2,1000,35.89,82000
2025-05-21T20:53:51.995500,2,1000,35.39,84000
2025-05-21T20:53:52.093259,2,1000,30.97,86000
2025-05-21T20:53:52.187424,2,1000,31.98,87000
2025-05-21T20:53:52.288067,2,1000,34.92,90000
2025-05-21T20:53:52.387128,2,1000,32.48,92000
2025-05-21T20:53:52.484489,2,1000,34.17,93000
2025-05-21T20:53:52.581014,2,1000,33.47,95000
2025-05-21T20:53:52.686799,2,1000,39.45,98000
2025-05-21T20:53:52.765101,2,1000,17.85,100000
2025-05-21T20:53:52.857981,2,1000,26.23,102000
2025-05-21T20:53:52.953353,2,1000,29.81,104000
2025-05-21T20:53:53.053147,2,1000,36.52,105000
2025-05-21T20:53:53.177224,2,1000,48.37,107000
2025-05-21T20:53:53.277227,2,1000,37.09,109000
2025-05-21T20:53:53.362269,2,1000,27.81,111000
2025-05-21T20:53:53.443794,2,1000,27.37,113000
2025-05-21T20:53:53.544346,2,1000,43.80,115000
2025-05-21T20:53:53.638031,2,1000,38.30,117000
2025-05-21T20:53:53.729390,2,1000,28.40,119000
2025-05-21T20:53:53.825923,2,1000,30.00,122000
2025-05-21T20:53:53.923547,2,1000,34.93,123000
2025-05-21T20:53:54.023627,2,1000,35.59,125000
2025-05-21T20:53:54.117854,2,1000,27.31,128000
2025-05-21T20:53:54.215858,2,1000,35.47,129000
2025-05-21T20:53:54.314132,2,1000,34.61,131000
2025-05-21T20:53:54.413125,2,1000,31.77,134000
2025-05-21T20:53:54.510611,2,1000,31.59,136000
2025-05-21T20:53:54.605952,2,1000,40.04,137000
2025-05-21T20:53:54.710975,2,1000,41.12,139000
2025-05-21T20:53:54.805233,2,1000,31.36,141000
2025-05-21T20:53:54.903226,2,1000,35.67,143000
2025-05-21T20:53:55.001065,2,1000,30.93,146000
2025-05-21T20:53:55.098860,2,1000,34.52,147000
2025-05-21T20:53:55.198345,2,1000,36.77,149000
2025-05-21T20:53:55.298508,2,1000,36.76,151000
2025-05-21T20:53:55.397260,2,1000,36.36,154000
2025-05-21T20:53:55.496140,2,1000,35.74,155000
2025-05-21T20:53:55.593804,2,1000,35.08,157000
2025-05-21T20:53:55.684698,2,1000,28.98,159000
2025-05-21T20:53:55.753042,2,1000,13.03,161000
2025-05-21T20:53:55.821688,2,1000,18.67,163000
2025-05-21T20:53:55.891868,2,1000,25.17,165000
2025-05-21T20:53:55.960330,2,1000,18.16,167000
2025-05-21T20:53:56.022627,2,1000,25.16,169000
2025-05-21T20:53:56.080973,2,1000,18.71,171000
2025-05-21T20:53:56.138294,2,1000,18.28,173000
2025-05-21T20:53:56.198612,2,1000,19.09,175000
2025-05-21T20:53:56.262287,2,1000,23.12,177000
2025-05-21T20:53:56.321505,2,1000,19.61,179000
2025-05-21T20:53:56.383262,2,1000,22.30,181000
2025-05-21T20:53:56.447754,2,1000,23.15,183000
2025-05-21T20:53:56.507817,2,1000,20.09,185000
2025-05-21T20:53:56.566172,2,1000,18.88,187000
2025-05-21T20:53:56.626954,2,1000,18.84,189000
2025-05-21T20:53:56.686570,2,1000,19.26,191000
2025-05-21T20:53:56.746849,2,1000,19.34,193000
2025-05-21T20:53:56.806405,2,1000,19.05,195000
2025-05-21T20:53:56.865709,2,1000,19.03,197000
2025-05-21T20:53:56.927980,2,1000,20.39,199000
2025-05-21T20:53:56.984911,2,1000,18.57,201000
2025-05-21T20:53:57.045028,2,1000,19.39,203000
2025-05-21T20:53:57.104812,2,1000,19.57,205000
2025-05-21T20:53:57.163595,2,1000,19.00,207000
2025-05-21T20:53:57.224772,2,1000,21.01,209000
2025-05-21T20:53:57.287208,2,1000,22.27,211000
2025-05-21T20:53:57.350354,2,1000,22.03,213000
2025-05-21T20:53:57.413958,2,1000,20.89,215000
2025-05-21T20:53:57.476013,2,1000,20.85,217000
2025-05-21T20:53:57.536594,2,1000,20.27,219000
2025-05-21T20:53:57.597510,2,1000,20.34,221000
2025-05-21T20:53:57.665510,2,1000,20.76,223000
2025-05-21T20:53:57.750401,2,1000,41.30,225000
2025-05-21T20:53:57.811187,2,1000,19.70,227000
2025-05-21T20:53:57.869967,2,1000,19.35,229000
2025-05-21T20:53:57.930748,2,1000,19.91,231000
2025-05-21T20:53:57.991225,2,1000,20.61,233000
